EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
13.65,2.49,12.62,22.13,21045.0,1.18,"
											
											
												
				192.97
			
											
										",전기장비,"1,620",7.70,KOSPI,전기전자,HD현대일렉트릭,"""267260""",4.00,"
															56,900"
4.40,0.64,24.19,2.90,16856.0,2.27,"
											
											
												
				96.20
			
											
										",식품,144,0.86,KOSDAQ,"음식료,담배",매일유업,"""267980""",4.00,"
															44,400"
2.16,1.17,3.91,35.62,4866.0,1.47,"
											
											
												
				102.86
			
											
										",디스플레이장비및부품,822,16.90,KOSDAQ,반도체,AP시스템,"""265520""",4.00,"
															21,050"
11.30,1.42,474.66,0.36,7876.0,,"
											
											
												
				156.65
			
											
										",통신장비,16,0.21,KOSDAQ,통신장비,서진시스템,"""178320""",4.00,"
															20,350"
6.13,2.04,9.31,24.78,4894.0,1.49,"
											
											
												
				22.00
			
											
										",디스플레이장비및부품,854,17.44,KOSDAQ,IT부품,이녹스첨단소재,"""272290""",4.00,"
															39,700"
13.06,1.86,35.73,5.66,2725.0,1.23,"
											
											
												
				28.11
			
											
										",화장품,101,3.72,KOSDAQ,화학,클리오,"""237880""",4.00,"
															20,200"
40.66,5.92,65.46,11.42,30013.0,,"
											
											
												
				84.56
			
											
										",제약,"7,981",26.59,KOSPI,의약품,삼성바이오로직스,"""207940""",4.00,"
															747,000"
30.27,3.75,42.93,9.41,2395.0,0.15,"
											
											
												
				107.26
			
											
										",통신장비,160,6.69,KOSDAQ,일반전기전자,인텔리안테크,"""189300""",4.00,"
															72,500"
8.53,3.28,12.32,28.90,3073.0,1.83,"
											
											
												
				61.18
			
											
										",반도체와반도체장비,801,26.07,KOSDAQ,반도체,하나머티리얼즈,"""166090""",4.00,"
															50,000"
10.15,1.74,17.34,10.71,10115.0,0.81,"
											
											
												
				28.97
			
											
										",반도체와반도체장비,894,8.84,KOSDAQ,반도체,원익IPS,"""240810""",3.60,"
															31,600"
3.87,2.11,5.92,42.99,8394.0,2.51,"
											
											
												
				47.47
			
											
										",반도체와반도체장비,"1,594",18.99,KOSPI,전기전자,해성디에스,"""195870""",4.00,"
															55,500"
7.15,1.5,21.78,7.31,2817.0,,"
											
											
												
				23.58
			
											
										",생물공학,607,21.54,KOSDAQ,제약,휴젤,"""145020""",4.00,"
															100,800"
43.87,4.36,81.71,5.45,2493.0,0.57,"
											
											
												
				67.30
			
											
										",제약,175,7.03,KOSDAQ,제약,에스티팜,"""237690""",4.00,"
															78,200"
12.95,3.62,20.18,25.86,3559.0,0.3,"
											
											
												
				80.77
			
											
										",건강관리장비와용품,861,24.21,KOSPI,의료정밀,덴티움,"""145720""",4.00,"
															156,900"
18.22,2.16,31.57,7.08,4101.0,2.91,"
											
											
												
				163.61
			
											
										",조선,134,3.26,KOSPI,운수장비,세진중공업,"""075580""",4.00,"
															6,450"
33.47,10.32,44.27,26.70,1245.0,0.35,"
											
											
												
				39.83
			
											
										",전자장비와기기,280,22.47,KOSDAQ,"의료,정밀기기",파크시스템스,"""140860""",4.00,"
															178,600"
146.28,6.52,227.16,,1324.0,,"
											
											
												
				37.33
			
											
										",게임엔터테인먼트,60,4.57,KOSDAQ,디지털컨텐츠,넥슨게임즈,"""225570""",4.00,"
															24,250"
8.02,1.88,14.42,14.48,22208.0,1.63,"
											
											
												
				222.16
			
											
										",우주항공과국방,"1,229",5.54,KOSPI,기계,LIG넥스원,"""079550""",4.12,"
															80,600"
4.34,0.55,23.26,2.49,12084.0,4.72,"
											
											
												
				309.37
			
											
										",도로와철도운송,88,0.73,KOSPI,서비스업,AJ네트웍스,"""095570""",4.00,"
															4,470"
2.20,1.73,4.29,49.67,16975.0,1.89,"
											
											
												
				106.71
			
											
										",전자장비와기기,"2,461",14.50,KOSDAQ,반도체,심텍,"""222800""",4.00,"
															33,100"
11.29,1.32,10.12,14.38,973.0,1.5,"
											
											
												
				126.57
			
											
										",음료,119,12.23,KOSDAQ,"음식료,담배",흥국에프엔비,"""189980""",4.00,"
															3,020"
29.18,7.37,29.72,24.93,241.0,1.39,"
											
											
												
				50.28
			
											
										",반도체와반도체장비,100,41.35,KOSDAQ,반도체,칩스앤미디어,"""094360""",4.00,"
															30,500"
94.02,6.03,70.64,9.30,1594.0,,"
											
											
												
				217.07
			
											
										",전기제품,115,7.24,KOSDAQ,"기계,장비",씨아이에스,"""222080""",4.00,"
															13,400"
17.05,4.05,34.76,12.50,1948.0,0.94,"
											
											
												
				28.63
			
											
										",건강관리장비와용품,434,22.30,KOSDAQ,제약,파마리서치,"""214450""",4.00,"
															139,500"
59.56,2.07,207.61,1.01,1080.0,0.45,"
											
											
												
				53.76
			
											
										",통신장비,49,4.50,KOSDAQ,일반전기전자,RFHIC,"""218410""",3.50,"
															21,600"
29.31,9.43,28.87,38.33,1418.0,0.63,"
											
											
												
				44.37
			
											
										",건강관리장비와용품,754,53.16,KOSDAQ,"의료,정밀기기",클래시스,"""214150""",4.00,"
															33,600"
18.58,3.39,28.14,12.82,1767.0,,"
											
											
												
				12.86
			
											
										",디스플레이장비및부품,389,22.03,KOSDAQ,반도체,덕산네오룩스,"""213420""",4.00,"
															44,100"
10.41,1.17,31.92,3.33,736.0,,"
											
											
												
				86.58
			
											
										",반도체와반도체장비,31,4.20,KOSDAQ,반도체,에이팩트,"""200470""",4.00,"
															3,290"
7.81,2.13,15.25,16.09,1232.0,1.8,"
											
											
												
				63.28
			
											
										",제약,212,17.17,KOSDAQ,제약,휴메딕스,"""200670""",4.00,"
															32,350"
6.64,1.11,24.36,4.78,75162.0,1.24,"
											
											
												
				157.10
			
											
										",자동차부품,"1,183",1.57,KOSPI,운수장비,HL만도,"""204320""",4.00,"
															51,000"
2.63,0.64,8.35,8.03,28453.0,1.91,"
											
											
												
				155.04
			
											
										",자동차부품,605,2.13,KOSPI,운수장비,서연이화,"""200880""",4.00,"
															17,190"
8.34,1.45,14.42,10.29,5759.0,1.09,"
											
											
												
				53.20
			
											
										",제약,404,7.01,KOSDAQ,제약,콜마비앤에이치,"""200130""",4.00,"
															19,770"
13.11,1.79,49.92,3.65,16001.0,,"
											
											
												
				214.34
			
											
										",화장품,-164,-1.03,KOSPI,화학,코스맥스,"""192820""",4.00,"
															91,700"
7.77,1.61,12.79,13.62,14883.0,1.16,"
											
											
												
				81.06
			
											
										",제약,800,5.37,KOSPI,의약품,종근당,"""185750""",4.00,"
															82,400"
23.06,2.65,20.36,14.06,31633.0,,"
											
											
												
				223.43
			
											
										",기계,"1,945",6.15,KOSPI,운수장비,현대로템,"""064350""",3.86,"
															36,900"
4.51,2.14,12.73,18.29,2777.0,0.58,"
											
											
												
				147.56
			
											
										",반도체와반도체장비,523,18.85,KOSDAQ,반도체,두산테스나,"""131970""",4.00,"
															39,000"
12.59,0.67,33.18,2.04,6354.0,1.13,"
											
											
												
				67.76
			
											
										",제약,128,2.01,KOSPI,의약품,동아에스티,"""170900""",4.00,"
															52,200"
20.45,2.18,38.56,5.83,2648.0,1.06,"
											
											
												
				47.52
			
											
										",건강관리장비와용품,159,6.01,KOSDAQ,"의료,정밀기기",아이센스,"""099190""",4.00,"
															22,650"
15.83,4.99,20.49,28.10,4178.0,0.23,"
											
											
												
				366.52
			
											
										",전기제품,597,14.28,KOSDAQ,"기계,장비",피엔티,"""137400""",4.00,"
															54,200"
4.60,0.89,23.19,4.15,12465.0,2.25,"
											
											
												
				547.25
			
											
										",도로와철도운송,207,1.66,KOSPI,서비스업,SK렌터카,"""068400""",4.00,"
															10,170"
5.54,0.59,60.21,1.00,112264.0,1.53,"
											
											
												
				122.45
			
											
										",백화점과일반상점,476,0.42,KOSPI,유통업,GS리테일,"""007070""",4.00,"
															23,250"
23.01,3.52,43.03,8.56,3912.0,0.57,"
											
											
												
				35.45
			
											
										",방송과엔터테인먼트,468,11.96,KOSDAQ,"오락,문화",와이지엔터테인먼트,"""122870""",3.93,"
															78,000"
20.38,2.42,61.8,4.05,1812.0,0.74,"
											
											
												
				81.61
			
											
										",전자장비와기기,74,4.10,KOSDAQ,화학,상아프론테크,"""089980""",4.00,"
															28,700"
15.45,3.72,44.84,8.78,27869.0,0.49,"
											
											
												
				434.84
			
											
										",우주항공과국방,"1,159",4.16,KOSPI,운수장비,한국항공우주,"""047810""",4.00,"
															54,500"
9.46,1.55,5.16,30.32,703656.0,0.25,"
											
											
												
				1,457.41
			
											
										",증권,"16,404",2.33,KOSPI,기타금융업,메리츠금융지주,"""138040""",4.00,"
															42,050"
13.98,1.78,59.44,3.58,7294.0,0.58,"
											
											
												
				22.12
			
											
										",전자장비와기기,490,6.72,KOSPI,전기전자,롯데에너지머티리얼즈,"""020150""",4.00,"
															56,500"
4.20,0.47,24.57,1.99,82076.0,1.42,"
											
											
												
				102.12
			
											
										",자동차부품,435,0.53,KOSPI,운수장비,현대위아,"""011210""",3.75,"
															59,100"
6.55,2.01,11.9,18.80,3393.0,1.35,"
											
											
												
				31.76
			
											
										",반도체와반도체장비,534,15.73,KOSDAQ,반도체,티에스이,"""131290""",4.00,"
															53,600"
8.31,0.89,16.05,5.52,1099.0,1.78,"
											
											
												
				53.34
			
											
										",기계,58,5.32,KOSDAQ,"기계,장비",디케이락,"""105740""",4.00,"
															10,990"
8.32,1.32,12.42,12.65,1977.0,0.66,"
											
											
												
				38.65
			
											
										",핸드셋,246,12.45,KOSDAQ,"의료,정밀기기",하이비젼시스템,"""126700""",4.00,"
															19,970"
17.35,4.49,47.64,9.89,13315.0,0.16,"
											
											
												
				90.70
			
											
										",제약,"1,016",7.63,KOSPI,의약품,한미약품,"""128940""",4.00,"
															314,000"
12.37,2.38,19.75,13.20,1269.0,2.13,"
											
											
												
				39.45
			
											
										",건강관리장비와용품,242,19.04,KOSDAQ,"의료,정밀기기",인터로조,"""119610""",4.00,"
															36,150"
8.43,0.35,122.09,0.31,12771.0,6.5,"
											
											
												
				126.81
			
											
										",자동차부품,25,0.19,KOSPI,기타금융업,HL홀딩스,"""060980""",4.00,"
															36,100"
72.06,4.97,151.14,3.40,5053.0,0.52,"
											
											
												
				50.25
			
											
										",전기유틸리티,180,3.55,KOSPI,서비스업,한전기술,"""052690""",4.00,"
															71,000"
11.19,2.62,21.39,13.11,1410.0,1.57,"
											
											
												
				27.72
			
											
										",전기제품,231,16.39,KOSDAQ,IT부품,비츠로셀,"""082920""",4.00,"
															22,950"
47.81,6.56,73.7,9.57,1235.0,0.57,"
											
											
												
				19.10
			
											
										",반도체와반도체장비,175,14.14,KOSDAQ,반도체,에스앤에스텍,"""101490""",4.00,"
															60,000"
16.75,1.25,40.76,3.29,82201.0,0.51,"
											
											
												
				44.56
			
											
										",양방향미디어와서비스,"6,732",8.19,KOSPI,서비스업,NAVER,"""035420""",3.95,"
															188,900"
6.93,4.12,12.17,28.58,471.0,6.48,"
											
											
												
				22.31
			
											
										",상업서비스와공급품,157,33.23,KOSDAQ,기타서비스,이크레더블,"""092130""",4.00,"
															15,830"
4.03,1.7,7.4,25.85,195894.0,1.64,"
											
											
												
				129.59
			
											
										",전자장비와기기,"9,798",5.00,KOSPI,전기전자,LG이노텍,"""011070""",3.95,"
															306,500"
