EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
2.58,0.72,6.61,11.46,3035.0,2.73,24.65,에너지장비및서비스,419,13.80,KOSPI,건설업,수산인더스트리,"""126720""",4.00,23250.0
-17.35,1.56,,-12.88,228.0,,28.37,전자장비와기기,-64,-28.21,KOSDAQ,기타제조,아이씨에이치,"""368600""",,5870.0
-578.64,1.15,104.71,,,,8.88,창업투자,0,,KOSDAQ,금융서비스,한화플러스제3호스팩,"""430460""",,2135.0
-381.54,1.1,103.54,,,,14.97,창업투자,0,,KOSDAQ,금융서비스,유안타제9호스팩,"""430700""",,2185.0
-229.05,1.19,303.15,,,,14.58,창업투자,0,,KOSDAQ,금융서비스,신한제10호스팩,"""418210""",,2245.0
-16.10,3.48,,-14.18,2.0,,2.75,제약,-90,"-4,479.64",KOSDAQ,"연구,개발",에이프릴바이오,"""397030""",4.00,22800.0
28.69,5.79,37.51,19.62,2699.0,,44.4,전기제품,391,14.50,KOSDAQ,화학,성일하이텍,"""365340""",4.00,141400.0
15.05,2.03,29.56,8.74,824.0,0.87,71.86,반도체와반도체장비,42,5.06,KOSDAQ,반도체,와이씨켐,"""112290""",,13590.0
-43.81,30.59,,-110.27,139.0,,40.99,건강관리기술,-391,-282.12,KOSDAQ,소프트웨어,루닛,"""328130""",4.00,172400.0
25.62,12.3,32.77,53.20,1593.0,0.28,33.55,반도체와반도체장비,660,41.42,KOSDAQ,반도체,HPSP,"""403870""",4.00,29600.0
17.19,3.04,182.14,1.70,272.0,,99.88,IT서비스,2,0.77,KOSDAQ,컴퓨터서비스,벨로크,"""424760""",,2390.0
-109.47,9.83,,-11.93,154.0,,22.81,소프트웨어,-33,-21.30,KOSDAQ,소프트웨어,코난테크놀로지,"""402030""",,70300.0
-10.50,7.33,,-75.66,129.0,,12.35,반도체와반도체장비,-274,-213.14,KOSDAQ,반도체,넥스트칩,"""396270""",4.00,16560.0
-416.40,1.18,883.88,,,,11.62,창업투자,0,,KOSDAQ,금융서비스,엔에이치스팩23호,"""422040""",,2185.0
-435.13,1.61,141.59,,,,12.44,창업투자,1,,KOSDAQ,금융서비스,삼성스팩6호,"""425290""",,3100.0
-272.92,1.1,133.07,,,,17.44,창업투자,1,,KOSDAQ,금융서비스,교보12호스팩,"""421800""",,2180.0
-20.62,3.0,,,60.0,,8.18,반도체와반도체장비,-41,-68.48,KOSDAQ,반도체,레이저쎌,"""412350""",,12520.0
3.64,0.41,4.56,,4395.0,,88.53,전문소매,158,3.61,KOSDAQ,도매,위니아에이드,"""377460""",,5600.0
-40.34,17.55,,-96.66,98.0,,86.67,제약,-199,-203.73,KOSDAQ,제약,보로노이,"""310210""",4.00,49100.0
-288.36,1.06,,,,,11.81,창업투자,-1,,KOSDAQ,금융서비스,케이비제21호스팩,"""424140""",,2115.0
-39.49,3.03,,-0.64,163.0,,37.74,소프트웨어,-0,-0.28,KOSDAQ,"출판,매체복제",비플라이소프트,"""148780""",,1147.0
16.10,2.47,30.78,10.23,2163.0,,47.3,인터넷과카탈로그소매,47,2.16,KOSDAQ,도매,청담글로벌,"""362320""",,7750.0
73.94,2.35,100.65,3.44,507.0,,21.89,전기장비,23,4.46,KOSDAQ,일반전기전자,범한퓨얼셀,"""382900""",4.00,29150.0
16.03,4.25,16.65,31.97,880.0,,199.56,에너지장비및서비스,268,30.49,KOSDAQ,종합건설,대명에너지,"""389260""",4.00,26700.0
51.01,6.4,73.55,,433.0,,34.55,반도체와반도체장비,44,10.20,KOSDAQ,반도체,가온칩스,"""399720""",4.00,30300.0
-376.06,1.2,156.38,,,,10.42,창업투자,1,,KOSDAQ,금융서비스,하나금융22호스팩,"""418170""",,2200.0
-230.43,1.18,140.14,,,,7.67,창업투자,1,,KOSDAQ,금융서비스,상상인제3호스팩,"""415580""",,2175.0
-10.93,2.03,,,162.0,,13.74,방송과엔터테인먼트,-88,-54.19,KOSDAQ,디지털컨텐츠,포바이포,"""389140""",,11120.0
-195.35,1.15,547.85,,,,16.0,창업투자,0,,KOSDAQ,금융서비스,신영스팩7호,"""419270""",,2285.0
-260.09,1.2,230.14,,,,16.08,창업투자,0,,KOSDAQ,금융서비스,신한제9호스팩,"""405640""",,2250.0
-358.39,1.1,187.88,,,,22.7,창업투자,1,,KOSDAQ,금융서비스,미래에셋비전스팩1호,"""412930""",,2165.0
254.24,6.88,273.83,3.02,374.0,,45.32,전기장비,7,1.97,KOSDAQ,일반전기전자,지투파워,"""388050""",,11610.0
-137.50,1.13,707.03,0.24,,,17.86,창업투자,0,,KOSDAQ,금융서비스,키움제6호스팩,"""413600""",,2175.0
-257.43,1.18,181.6,0.95,,,12.78,창업투자,1,,KOSDAQ,금융서비스,유진스팩8호,"""413630""",,2190.0
11.43,3.2,15.55,26.22,587.0,1.51,6.58,"섬유,의류,신발,호화품",113,19.30,KOSDAQ,"섬유,의류",공구우먼,"""366030""",,8530.0
22.33,2.36,37.87,7.40,876.0,,23.87,비철금속,38,4.37,KOSDAQ,금속,세아메카닉스,"""396300""",,5680.0
11.48,3.08,19.45,17.22,383.0,,25.27,양방향미디어와서비스,70,18.22,KOSDAQ,사업지원,메쎄이상,"""408920""",,3185.0
19.90,2.6,51.82,,217.0,,50.53,소프트웨어,18,8.26,KOSDAQ,소프트웨어,모아데이타,"""288980""",,2940.0
-86.74,5.23,,-7.61,384.0,,36.89,기계,-23,-6.02,KOSDAQ,"기계,장비",유일로보틱스,"""388720""",,24300.0
-5.69,6.94,,-206.45,5.0,,126.85,건강관리장비와용품,-137,"-2,524.55",KOSDAQ,"의료,정밀기기",노을,"""376930""",,6900.0
18.26,3.46,24.67,19.46,821.0,,51.25,반도체와반도체장비,101,12.34,KOSDAQ,반도체,비씨엔씨,"""146320""",4.00,20600.0
42.47,2.84,33.93,12.06,449.0,,35.73,디스플레이장비및부품,65,14.55,KOSDAQ,IT부품,풍원정밀,"""371950""",,10760.0
-585.72,1.22,169.11,1.16,,,10.2,창업투자,1,,KOSDAQ,금융서비스,하나금융21호스팩,"""406760""",,2205.0
15.74,0.85,30.03,3.32,543.0,,94.0,레저용장비와제품,13,2.34,KOSDAQ,기타제조,브이씨,"""365900""",,5730.0
77.21,5.49,103.68,7.74,269.0,,27.61,전자장비와기기,20,7.37,KOSDAQ,"의료,정밀기기",퓨런티어,"""370090""",4.00,26500.0
8.60,0.88,10.72,9.54,296.0,8.86,14.24,창업투자,71,24.14,KOSDAQ,금융,스톤브릿지벤처스,"""330730""",,4345.0
-63.58,1.25,,-3.02,,,15.38,창업투자,-1,,KOSDAQ,금융서비스,IBKS제17호스팩,"""405350""",,2420.0
18.89,2.76,33.74,12.59,159.0,,11.44,생물공학,43,27.34,KOSDAQ,제약,바이오에프디엔씨,"""251120""",,17130.0
-186.40,2.04,4634.08,0.07,,,8.71,창업투자,0,,KOSDAQ,금융서비스,한국제10호스팩,"""409570""",,3710.0
4.70,2.21,7.69,36.19,4014.0,4.45,297.68,손해보험,208,5.18,KOSDAQ,금융서비스,인카금융서비스,"""211050""",,15770.0
26.46,0.91,38.33,2.96,880.0,1.4,71.76,디스플레이장비및부품,25,2.86,KOSDAQ,"기계,장비",나래나노텍,"""137080""",,8880.0
-35.49,6.08,,-35.58,36.0,,16.65,소프트웨어,-44,-122.10,KOSDAQ,디지털컨텐츠,스코넥,"""276040""",,12530.0
12.14,2.0,15.99,15.34,531.0,,68.61,화학,73,13.67,KOSDAQ,화학,아셈스,"""136410""",,10420.0
-33.61,1.51,,-5.72,216.0,1.2,15.27,전기제품,-23,-10.68,KOSDAQ,일반전기전자,이지트로닉스,"""377330""",,11300.0
-9.73,2.28,13.56,25.33,106.0,,91.64,제약,27,25.36,KOSDAQ,제약,애드바이오텍,"""179530""",,4030.0
21.59,1.04,32.59,4.08,277.0,0.76,72.42,판매업체,40,14.53,KOSDAQ,도매,케이옥션,"""102370""",,4890.0
43.89,7.05,170.65,5.75,255986.0,,85.98,전기제품,"7,798",3.05,KOSPI,전기전자,LG에너지솔루션,"""373220""",4.00,564000.0
-24.43,3.0,,-14.68,444.0,,70.22,방송과엔터테인먼트,-64,-14.33,KOSDAQ,"오락,문화",래몽래인,"""200350""",,19680.0
-276.06,1.13,232.3,0.86,,,8.82,창업투자,1,,KOSDAQ,금융서비스,DB금융스팩10호,"""404950""",,2120.0
-94.67,4.85,,-10.38,478.0,,84.72,자동차부품,-24,-5.04,KOSDAQ,자동차판매,오토앤,"""353590""",,11340.0
-239.53,1.55,304.4,0.51,,,15.35,창업투자,0,,KOSDAQ,금융서비스,하나금융20호스팩,"""400560""",,3030.0
-275.49,1.14,164.89,0.69,,,25.45,창업투자,1,,KOSDAQ,금융서비스,교보11호스팩,"""397880""",,2225.0
14.74,0.85,20.43,,454.0,4.7,9.99,창업투자,127,28.10,KOSDAQ,금융,우리벤처파트너스,"""298870""",,2605.0
-370.43,1.09,122.16,0.89,,,15.48,창업투자,1,,KOSDAQ,금융서비스,하이제7호스팩,"""400840""",,2180.0
-15.68,4.8,,,7.0,,7.04,생물공학,-182,"-2,444.93",KOSDAQ,"연구,개발",툴젠,"""199800""",,42900.0
13.39,0.38,24.45,1.55,45107.0,,29.12,반도체와반도체장비,"2,561",5.68,KOSPI,기타금융업,SK스퀘어,"""402340""",4.00,44900.0
18.98,2.13,384.01,0.60,631.0,,63.21,방송과엔터테인먼트,11,1.77,KOSDAQ,"오락,문화",알비더블유,"""361570""",,17270.0
-34.50,6.12,,-16.88,82.0,,47.75,IT서비스,-48,-57.79,KOSDAQ,소프트웨어,마음AI,"""377480""",,25800.0
-5.04,2.44,,-36.58,546.0,,65.81,IT서비스,-100,-18.34,KOSDAQ,소프트웨어,아이티아이즈,"""372800""",,9960.0
-11.33,1.48,,-7.56,196.0,,11.02,디스플레이장비및부품,-53,-27.25,KOSDAQ,소프트웨어,트윔,"""290090""",,13730.0
-153.51,2.51,491.63,0.51,125.0,,8.86,반도체와반도체장비,1,0.98,KOSDAQ,"기계,장비",바이옵트로,"""222160""",,7350.0
35.56,5.24,51.29,10.95,294.0,,64.93,가정용기기와용품,32,10.91,KOSDAQ,기타제조,피코그램,"""376180""",,9000.0
48.30,6.53,53.43,12.38,492.0,,8.01,양방향미디어와서비스,164,33.33,KOSDAQ,소프트웨어,디어유,"""376300""",4.00,39100.0
28.18,2.58,,-1.31,192.0,,107.26,소프트웨어,-5,-2.76,KOSDAQ,소프트웨어,비트나인,"""357880""",,8350.0
20.95,3.94,28.6,14.75,286.0,0.51,8.67,반도체와반도체장비,67,23.34,KOSDAQ,일반전기전자,지오엘리먼트,"""311320""",,15250.0
-10.36,2.61,,-19.72,101.0,,5.92,생물공학,-94,-93.07,KOSDAQ,"연구,개발",지니너스,"""389030""",,3460.0
-695.22,3.51,117.0,3.08,5217.0,,74.59,IT서비스,268,5.14,KOSPI,기타금융업,카카오페이,"""377300""",3.40,47650.0
58.40,4.18,52.23,8.48,5098.0,,131.88,전기제품,218,4.28,KOSDAQ,화학,엔켐,"""348370""",,66800.0
18.80,4.1,26.7,16.66,853.0,0.51,44.08,화장품,76,8.95,KOSDAQ,화학,아이패밀리에스씨,"""114840""",4.00,24200.0
8.61,2.17,10.34,23.03,656.0,,22.88,반도체와반도체장비,148,22.52,KOSDAQ,"기계,장비",지앤비에스 에코,"""382800""",,21050.0
1.55,0.92,7.97,12.89,551.0,,9.18,상업서비스와공급품,177,32.11,KOSDAQ,기타서비스,리파인,"""377450""",,8130.0
19.80,3.06,26.68,11.99,396.0,1.08,38.38,전기제품,64,16.26,KOSDAQ,"기계,장비",지아이텍,"""382480""",,4370.0
-17.02,4.08,,-18.40,2.0,,83.03,제약,-67,"-3,741.36",KOSDAQ,"연구,개발",차백신연구소,"""261780""",,5150.0
35.13,6.65,,-40.28,301.0,,40.45,IT서비스,-56,-18.51,KOSDAQ,소프트웨어,코닉오토메이션,"""391710""",,3700.0
3.10,0.8,21.28,3.77,2164.0,1.57,42.69,핸드셋,38,1.76,KOSDAQ,IT부품,씨유테크,"""376290""",,4600.0
8.86,2.75,22.25,11.65,21773.0,6.58,117.38,전문소매,304,1.40,KOSPI,유통업,케이카,"""381970""",4.00,14050.0
17.25,3.69,22.29,18.01,887.0,,106.5,기계,91,10.21,KOSDAQ,"기계,장비",아스플로,"""159010""",3.50,15130.0
22.27,4.02,34.85,12.21,1653.0,,34.06,인터넷과카탈로그소매,112,6.75,KOSDAQ,도매,실리콘투,"""257720""",,6440.0
24.78,2.91,21.38,14.63,1432.0,1.21,41.16,전기제품,152,10.60,KOSDAQ,"기계,장비",원준,"""382840""",,21550.0
"-1,065.06",1.11,78.94,1.41,,,9.44,창업투자,6,,KOSDAQ,금융서비스,엔에이치스팩20호,"""391060""",,10020.0
0.45,0.76,6.05,13.39,733.0,1.9,19.5,식품,98,13.43,KOSDAQ,"음식료,담배",에스앤디,"""260970""",,14680.0
13.36,4.02,20.71,22.02,567.0,1.01,27.45,제약,207,36.51,KOSDAQ,제약,바이오플러스,"""099430""",4.00,7510.0
