EV_EBITDA,PBR,PER,ROE,매출액,배당수익율,부채비율,상세구분,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
7.26,1.64,10.56,16.52,315.0,1.62,"
											
											
												
				13.85
			
											
										",창업투자,107,34.00,KOSDAQ,금융,SV인베스트먼트,"""289080""",,"
															2,125"
35.67,1.4,36.34,,,,,부동산,,,KOSPI,서비스업,이리츠코크렙,"""088260""",4.00,"
															5,350"
5.26,1.16,7.64,16.67,826.0,2.07,"
											
											
												
				20.73
			
											
										",건강관리장비와용품,139,16.83,KOSDAQ,"의료,정밀기기",제노레이,"""122310""",,"
															7,300"
12.00,2.02,13.26,17.66,747.0,1.04,"
											
											
												
				110.04
			
											
										",반도체와반도체장비,100,13.39,KOSDAQ,반도체,네오셈,"""253590""",,"
															3,470"
3.29,0.93,11.89,8.19,727.0,1.52,"
											
											
												
				25.23
			
											
										",디스플레이장비및부품,108,14.85,KOSDAQ,반도체,디바이스이엔지,"""187870""",,"
															18,250"
-1.08,0.6,2.75,25.72,540.0,4.21,"
											
											
												
				13.54
			
											
										",반도체와반도체장비,437,80.93,KOSDAQ,반도체,메카로,"""241770""",,"
															11,810"
18.45,1.97,27.19,7.41,335.0,2.25,"
											
											
												
				67.22
			
											
										",식품,38,11.32,KOSDAQ,"음식료,담배",인산가,"""277410""",,"
															3,170"
19.61,2.15,25.37,8.81,479.0,0.56,"
											
											
												
				42.80
			
											
										",자동차부품,48,10.06,KOSDAQ,"운송장비,부품",영화테크,"""265560""",,"
															11,450"
16.00,3.01,21.61,16.05,385.0,1.82,"
											
											
												
				24.62
			
											
										",소프트웨어,71,18.58,KOSDAQ,소프트웨어,지니언스,"""263860""",,"
															16,350"
9.89,1.63,7.42,25.31,695.0,2.8,"
											
											
												
				35.45
			
											
										",식품과기본식료품소매,173,24.93,KOSDAQ,도매,보라티알,"""250000""",,"
															19,030"
6.54,2.83,12.5,22.35,549.0,9.08,"
											
											
												
				37.43
			
											
										",전자장비와기기,83,15.03,KOSDAQ,"의료,정밀기기",삼양옵틱스,"""225190""",,"
															10,180"
11.38,1.99,16.31,12.98,826.0,2.08,"
											
											
												
				43.69
			
											
										",전자장비와기기,52,6.26,KOSDAQ,일반전기전자,이랜시스,"""264850""",,"
															2,905"
14.97,1.46,147.73,1.00,394.0,0.51,"
											
											
												
				31.16
			
											
										",디스플레이장비및부품,8,2.01,KOSDAQ,금속,포인트엔지니어링,"""256630""",,"
															1,990"
